,Number,Position,Age,Height,Weight,Salary,Bonus,NewSalary
0,0.0,PG,25.0,6-2,180.0,7730337.0,15000,7745337.0
1,99.0,SF,25.0,6-6,235.0,6796117.0,15000,6811117.0
2,30.0,SG,27.0,6-5,205.0,4842684.105381166,15000,4857684.105381166
3,28.0,SG,22.0,6-5,185.0,1148640.0,15000,1163640.0
4,8.0,PF,29.0,6-10,231.0,5000000.0,15000,5015000.0
5,90.0,PF,29.0,6-9,240.0,12000000.0,15000,12015000.0
6,55.0,PF,21.0,6-8,235.0,1170960.0,15000,1185960.0
7,41.0,C,25.0,7-0,238.0,2165160.0,15000,2180160.0
8,12.0,PG,22.0,6-2,190.0,1824360.0,15000,1839360.0
9,36.0,PG,22.0,6-4,220.0,3431040.0,15000,3446040.0
10,7.0,C,24.0,6-9,260.0,2569260.0,15000,2584260.0
11,4.0,PG,27.0,5-9,185.0,6912869.0,15000,6927869.0
12,11.0,SG,27.0,6-7,220.0,3425510.0,15000,3440510.0
13,13.0,SG,20.0,6-6,215.0,1749840.0,15000,1764840.0
14,44.0,C,26.0,7-0,253.0,2616975.0,15000,2631975.0
15,44.0,SG,27.0,6-8,216.0,3425510.0,15000,3440510.0
16,22.0,SG,24.0,6-3,190.0,845059.0,15000,860059.0
17,21.0,SG,28.0,6-4,200.0,1500000.0,15000,1515000.0
18,24.0,SG,21.0,6-7,220.0,1335480.0,15000,1350480.0
19,2.0,PG,32.0,6-3,200.0,6300000.0,15000,6315000.0
20,10.0,SG,22.0,6-7,208.0,1599840.0,15000,1614840.0
21,6.0,SG,26.0,6-4,219.0,134215.0,15000,149215.0
22,0.0,PG,23.0,5-11,175.0,1500000.0,15000,1515000.0
23,11.0,C,28.0,7-0,275.0,19689000.0,15000,19704000.0
24,1.0,PF,21.0,6-11,200.0,1140240.0,15000,1155240.0
25,33.0,PF,26.0,6-10,220.0,947276.0,15000,962276.0
26,41.0,PF,25.0,6-10,237.0,981348.0,15000,996348.0
27,14.0,C,26.0,6-10,248.0,947276.0,15000,962276.0
28,15.0,PG,28.0,6-3,205.0,947276.0,15000,962276.0
29,30.0,PF,27.0,6-8,221.0,11235955.0,15000,11250955.0
30,4.0,SG,30.0,6-5,210.0,8000000.0,15000,8015000.0
31,17.0,PF,33.0,6-9,220.0,1635476.0,15000,1650476.0
32,43.0,SF,23.0,6-7,205.0,30888.0,15000,45888.0
33,7.0,SF,32.0,6-8,240.0,22875000.0,15000,22890000.0
